uni_number,state,park,parkcode2,category,address,zipcode,phone,parkCode,acres
1,alabama,Birmingham Civil Rights,bicr,National Monument,"Birmingham, AL",35203,205-568-3963,BICR,532619
2,alabama,Freedom Riders,frri,National Monument,"Anniston, AL",36202,(256) 237-3536,FRRI,2774864
3,alabama,Horseshoe Bend,hobe,National Military Park,"Daviston, AL",36256,(256) 234-7111,HOBE,918155
4,alabama,Little River Canyon,liri,National Preserve,"Fort Payne, AL",35967,(256) 845-9605,LIRI,724999
5,alabama,Natchez Trace,natr,Parkway,"Tupelo, MS",38804,(800) 305-7417,NATR,1252093
6,alabama,Natchez Trace,natt,National Scenic Trail,"Tupelo, MS",38804,18003057417,NATT,300814
7,alabama,Russell Cave,ruca,National Monument,"Bridgeport, AL",35740,(256) 495-2672,RUCA,2971009
8,alabama,Selma To Montgomery,semo,National Historic Trail,"Hayneville, AL",36040,(334) 877-1983,SEMO,459765
9,alabama,Trail Of Tears,trte,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,TRTE,397325
10,alabama,Tuskegee Airmen,tuai,National Historic Site,"Tuskegee, AL",36083,(334) 724-0922,TUAI,2824405
11,alabama,Tuskegee Institute,tuin,National Historic Site,"Tuskegee Institute, AL",36088,(334) 727-3200,TUIN,1588207
12,alaska,Alagnak,alag,Wild River,"King Salmon, AK",99613,(907) 246-3305,ALAG,2073676
13,alaska,Alaska Public Lands,anch,,"Anchorage, AK",99501,(907) 644-3661,ANCH,1912204
14,alaska,Aleutian Islands World War II,aleu,National Historic Area,"Anchorage, AK",99501,(907) 644-3472,ALEU,2027495
15,alaska,Aniakchak,ania,National Monument & Preserve,"KIng Salmon, AK",99613,(907) 246-3305,ANIA,1137627
16,alaska,Bering Land Bridge,bela,National Preserve,"Nome, AK",99762,(800) 471-2352,BELA,1799077
17,alaska,Cape Krusenstern,cakr,National Monument,"Kotzebue, AK",99752,(907) 442-3890,CAKR,287154
18,alaska,Denali,dena,National Park & Preserve,"Denali Park, AK",99755,(907) 683-9532,DENA,917334
19,alaska,Gates Of The Arctic,gaar,National Park & Preserve,"Fairbanks, AK",99701,907-459-3730,GAAR,827926
20,alaska,Glacier Bay,glba,National Park & Preserve,"Gustavus, AK",99826,(907) 697-2230,GLBA,580166
21,alaska,Iñupiat Heritage Center,inup,,"Barrow, AK",99723,(907) 852-0422,INUP,2515585
22,alaska,Katmai,katm,National Park & Preserve,"King Salmon, AK",99613,(907) 246-3305,KATM,1540025
23,alaska,Kenai Fjords,kefj,National Park,"Seward, AK",99664,(907) 422-0500,KEFJ,276942
24,alaska,Klondike Gold Rush,klgo,National Historical Park,"Skagway, AK",99840,(907) 983-9200,KLGO,2578480
25,alaska,Kobuk Valley,kova,National Park,"Kotzebue, AK",99752,(907) 442-3890,KOVA,611052
26,alaska,Lake Clark,lacl,National Park & Preserve,"Port Alsworth, AK",99653,(907) 781-2218,LACL,2291544
27,alaska,Noatak,noat,National Preserve,"Kotzebue, AK",99752,(907) 442-3890,NOAT,265408
28,alaska,Sitka,sitk,National Historical Park,"Sitka, AK",99835,(907) 747-0110,SITK,1894472
29,alaska,Wrangell - St Elias,wrst,National Park & Preserve,"Copper Center, AK",99573,(907) 822-5234,WRST,2169026
30,alaska,Yukon - Charley Rivers,yuch,National Preserve,"Fairbanks, AK",99701,907-459-3730,YUCH,2200490
31,american samoa,National Park of American Samoa,npsa,,"Pago Pago, AS",96799,(684) 633-7082,NPSA,1685859
32,arizona,Canyon de Chelly,cach,National Monument,"Chinle, AZ",86503,(928) 674-5500,CACH,377910
33,arizona,Casa Grande Ruins,cagr,National Monument,"Coolidge, AZ",85128,(520) 723-3172,CAGR,726683
34,arizona,Chiricahua,chir,National Monument,"Willcox, AZ",85643,(520) 824-3560,CHIR,1293937
35,arizona,Coronado,coro,National Memorial,"Hereford, AZ",85615,(520) 366-5515,CORO,1176775
36,arizona,Fort Bowie,fobo,National Historic Site,"Bowie, AZ",85605,520-847-2500,FOBO,1478725
37,arizona,Glen Canyon,glca,National Recreation Area,"Page, AZ",86040,(928) 608-6200,GLCA,2730350
38,arizona,Grand Canyon,grca,National Park,"Grand Canyon, AZ",86023,928-638-7888,GRCA,2399548
39,arizona,Grand Canyon-Parashant,para,National Monument,"St. George, UT",84790,(435) 688-3200,PARA,884987
40,arizona,Hubbell Trading Post,hutr,National Historic Site,"Ganado, AZ",86505-0150,(928) 755-3475,HUTR,2074601
41,arizona,Juan Bautista de Anza,juba,National Historic Trail,"Richmond, CA",94804,(510) 232-5050,JUBA,1251551
42,arizona,Lake Mead,lake,National Recreation Area,"Boulder City, NV",89005,(702) 293-8990,LAKE,1157670
43,arizona,Montezuma Castle,moca,National Monument,"Camp Verde, AZ",86322,(928) 567-3322,MOCA,2852522
44,arizona,Navajo,nava,National Monument,"Shonto, AZ",86045,(928) 672-2700,NAVA,1764344
45,arizona,Old Spanish,olsp,National Historic Trail,"Santa Fe, NM",87505,(505) 988-6098,OLSP,1396729
46,arizona,Organ Pipe Cactus,orpi,National Monument,"Ajo, AZ",85321,(520) 387-6849,ORPI,2128342
47,arizona,Petrified Forest,pefo,National Park,"Petrified Forest, AZ",86028,(928) 524-6228,PEFO,2509197
48,arizona,Pipe Spring,pisp,National Monument,"Fredonia, AZ",86022,(928) 643-7105,PISP,1902698
49,arizona,Saguaro,sagu,National Park,"Tucson, AZ",85730,(520) 733-5153,SAGU,2691373
50,arizona,Sunset Crater Volcano,sucr,National Monument,"Flagstaff, AZ",86004,(928) 526-0502,SUCR,1093773
51,arizona,Tonto,tont,National Monument,"Roosevelt, AZ",85545,(928) 467-2241,TONT,732962
52,arizona,Tumacácori,tuma,National Historical Park,"Tumacacori, AZ",85640,(520) 377-5060,TUMA,178916
53,arizona,Tuzigoot,tuzi,National Monument,"Camp Verde, AZ",86322,(928) 634-5564,TUZI,968894
54,arizona,Walnut Canyon,waca,National Monument,"Flagstaff, AZ",86004,(928) 526-3367,WACA,2718154
55,arizona,Wupatki,wupa,National Monument,"Flagstaff, AZ",86004,9286792365 or 9288561705,WUPA,1435968
